State,Population,Median Income,Poverty Rate,FIPS
Alabama,4817678,43511,14.6,01
Alaska,728300,71829,7.0,02
Arizona,6561516,49928,13.3,04
Arkansas,2947036,41264,14.3,05
California,38066920,61489,12.3,06
Colorado,5197580,59448,8.8,08
Connecticut,3592053,69899,7.5,09
Delaware,917060,60231,8.2,10
District of Columbia,633736,69235,14.3,11
Florida,19361792,47212,12.2,12
Georgia,9907756,49342,14.2,13
Hawaii,1392704,68201,7.8,15
Idaho,1599464,47334,11.0,16
Illinois,12868747,57166,10.5,17
Indiana,6542411,48737,11.3,18
Iowa,3078116,52716,8.2,19
Kansas,2882946,51872,9.4,20
Kentucky,4383272,43342,14.4,21
Louisiana,4601049,44991,15.1,22
Maine,1328535,48804,9.4,23
Maryland,5887776,74149,6.9,24
Massachusetts,6657291,67846,8.3,25
Michigan,9889024,49087,12.1,26
Minnesota,5383661,60828,7.5,27
Mississippi,2984345,39464,17.7,28
Missouri,6028076,47764,11.1,29
Montana,1006370,46766,10.0,30
Nebraska,1855617,52400,8.9,31
Nevada,2761584,52205,11.5,32
New Hampshire,1321069,65986,5.7,33
New Jersey,8874374,72062,8.1,34
New Mexico,2080085,44968,16.1,35
New York,19594330,58687,12.0,36
North Carolina,9750405,46693,13.0,37
North Dakota,704925,55579,7.3,38
Ohio,11560380,48849,11.7,39
Oklahoma,3818851,46235,12.6,40
Oregon,3900343,50521,11.5,41
Pennsylvania,12758729,53115,9.3,42
Rhode Island,1053252,56423,10.0,44
South Carolina,4727273,45033,13.9,45
South Dakota,834708,50338,9.2,46
Tennessee,6451365,44621,13.4,47
Texas,26092033,52576,13.7,48
Utah,2858111,59846,9.4,49
Vermont,626358,54447,7.8,50
Virginia,8185131,64792,8.2,51
Washington,6899123,60294,9.1,53
West Virginia,1853881,41576,13.1,54
Wisconsin,5724692,52738,8.9,55
Wyoming,575251,58252,8.0,56
