Census Tract,Total Crimes
1001,3993
1002,4755
1003,4282
1004,1412
1005,4482
1006,4061
1007,2156
101,14299
102.01,10198
102.02,7299
103,8969
104,6302
105.01,5874
105.02,3580
105.03,3055
106,11047
107.01,3568
107.02,8941
1101,4243
1102,3261
1103,3043
1104,3973
1105.01,3683
1105.02,5873
1201,1542
1202,2648
1203,3231
1204,3143
1301,5664
1302,2150
1303,4772
1401,4554
1402,6446
1403.01,2855
1403.02,3727
1404,6155
1405,3907
1406.01,3038
1406.02,5747
1407.01,4477
1407.02,7577
1408,5364
1502,9762
1503,7975
1504.01,4436
1504.02,3799
1505.01,2351
1505.02,3241
1506,4513
1507,5006
1508,6716
1510.01,3821
1510.02,7765
1511,7078
1512,5696
1601,2670
1602,4211
1603,4354
1604,5814
1605.01,4709
1605.02,3587
1606.01,4023
1606.02,3898
1607,7585
1608,7308
1609,5061
1610,3532
1611,3746
1612,3721
1613,7066
1701,2993
1702,4211
1703,5044
1704,2889
1705,3273
1706,1614
1707,1866
1708,3215
1709,1488
1710,6997
1711,3582
1801,5776
1901,3646
1902,7689
1903,8201
1904.01,5957
1904.02,6878
1906.01,4771
1906.02,6253
1907.01,3461
1907.02,5513
1908,8017
1909,4262
1910,4535
1911,11678
1912,8745
1913.01,7032
1913.02,7503
2001,4627
2002,9732
2003,2821
2004.01,5008
2004.02,6109
201,4519
202,4798
203.01,2047
203.02,4169
204,4012
205,7033
206.01,5728
206.02,4886
207.01,3377
207.02,6833
208.01,5542
208.02,9401
209.01,6687
209.02,4573
2101,5701
2104,3421
2105.01,6316
2105.02,6477
2106.01,4272
2106.02,7487
2107,5048
2108,1531
2109,4153
2203,2816
2204,3917
2205,5486
2206.01,2928
2206.02,7877
2207.01,4703
2207.02,6762
2209.01,5867
2209.02,4942
2210,4206
2211,7266
2212,4173
2213,5597
2214,8675
2215,3668
2216,4580
2222,3414
2225,2602
2226,3814
2227,3490
2228,2779
2229,4177
2301,3217
2302,4184
2303,1618
2304,3777
2305,8070
2306,20914
2307,18845
2308,2828
2309,12266
2311,5298
2312,29905
2315,33166
2402,3307
2403,4329
2405,6125
2406,2922
2407,2807
2408,2747
2409,8163
2410,7697
2411,10310
2412,4493
2413,2468
2414,13825
2415,7334
2416,6785
2420,7110
2421,5972
2422,5489
2423,4028
2424,6328
2425,4708
2426,11279
2427,3737
2428,3947
2429,3592
2430,4326
2431,3598
2432,4258
2433,4866
2434,4915
2435,7027
2502,9450
2503,11160
2504,13905
2505,6724
2506,13135
2507,16557
2508,11835
2510,7595
2511,20849
2512,15373
2513,14971
2514,13649
2515,21953
2516,17944
2517,10153
2518,33587
2519,33044
2520,20723
2521.01,8012
2521.02,23352
2522.01,12615
2522.02,27102
2601,6971
2602,11812
2603,9126
2604,7994
2605,12536
2606,13397
2607,16604
2608,14053
2609,6937
2610,8952
2705,12310
2712,6960
2713,9363
2714,6482
2715,4950
2718,6437
2801,9017
2804,5556
2808,10423
2809,3870
2819,10755
2827,6361
2828,3349
2831,3055
2832,3263
2838,3784
2909,17582
2912,11583
2916,1140
2922,12321
2924,7928
2925,13841
3005,3126
3006,4653
3007,6956
3008,8185
3009,7652
301.01,5023
301.02,3341
301.03,1645
301.04,1510
3011,4821
3012,6953
3016,5581
3017.01,5691
3017.02,3838
3018.01,4224
3018.02,6177
3018.03,4117
302,7498
303,2735
304,2748
305,7645
306.01,3380
306.03,4521
306.04,2336
307.01,1659
307.02,630
307.03,3973
307.06,3042
308,6489
309,2813
310,4391
3102,2858
3103,2473
3104,1979
3105,1739
3106,9459
3107,3365
3108,5775
3109,7005
311,4989
312,12627
313,5078
314,8657
315.01,6717
315.02,5145
317,10218
318,2500
319,2818
3201,27277
3204,22129
3206,7166
321,9636
3301,24135
3302,5544
3403,1448
3404,1851
3405,3828
3406,7537
3501,1772
3504,10924
3510,7908
3511,13424
3514,7353
3515,3747
3602,3812
3801,6028
3802,3266
3805,3111
3807,4575
3812,6368
3814,9266
3815,1598
3817,2518
3818,9260
3819,3575
3901,3419
3902,4369
3903,8015
3904,8272
3905,2169
3906,2132
3907,6560
4003,12080
4004,10136
4005,11402
4008,13764
401,4934
402.01,6541
402.02,6832
403,3680
404.01,2943
404.02,5210
406,3081
407,3262
408,1495
409,2687
4101,3083
4102,822
4105,3514
4106,2484
4107,3225
4108,5867
4109,3748
4110,4187
4111,1496
4112,1773
4201,4430
4202,3980
4203,2551
4204,4468
4205,13742
4206,12636
4207,27599
4208,8785
4212,8501
4301.01,13826
4301.02,6844
4302,17729
4303,12105
4304,10613
4305,15758
4306,8876
4307,5969
4308,5711
4309,5837
4312,9344
4313.01,18180
4313.02,21107
4314,18438
4401.01,21048
4401.02,18091
4402.01,17574
4402.02,8237
4403,12579
4406,3784
4407,3798
4408,5230
4409,7656
4503,10609
4601,15498
4602,8225
4603.01,10471
4603.02,15240
4604,11788
4605,18408
4606,6124
4607,10985
4610,6524
4701,10172
4801,7108
4802,4171
4803,4884
4804,11752
4805,7421
4903,5665
4904,2444
4905,6277
4906,10327
4907,9116
4908,10637
4909.01,12807
4909.02,17595
4910,25357
4911,11303
4912,10654
4913,12480
4914,19000
5001,9394
5002,8754
5003,3870
501,1979
502,5098
503,1734
505,4536
506,2560
507,1048
508,1329
509,1796
510,1425
5101,4578
5102,6451
5103,16739
511,1329
512,1544
513,2022
514,5219
5201,4749
5202,6266
5203,7394
5204,5194
5205,3265
5206,3774
5301,9504
5302,23272
5303,12104
5304,5855
5305.01,19906
5305.02,3935
5305.03,13607
5306,10899
5401.01,13957
5401.02,12838
5501,9823
5502,3395
5601,3320
5602,7494
5603,3677
5604,4957
5607,4529
5608,5455
5609,3623
5610,3844
5611,4876
5701,1814
5702,4571
5703,7799
5704,4982
5705,3023
5801,4285
5802,4429
5803,1945
5804,7524
5805.01,7713
5805.02,5842
5806,6095
5807,7337
5808,2807
5905,4698
5906,3795
5907,4453
6004,3203
6006,3097
6007,2817
6009,5346
601,2631
602,2824
603,2295
604,3395
605,1116
608,3051
609,6772
610,2731
6103,11435
6104,3233
6108,2416
611,4207
6110,4171
6111,5178
6112,9592
6113,8882
6114,5843
6115,6140
6116,5384
6117,9049
6118,10312
6119,11236
612,1698
6120,7097
6121,6137
615,1504
618,1553
619.01,3537
619.02,1792
620,5358
6201,8081
6202,2906
6203,6697
6204,5030
621,8291
622,4499
623,1466
624,1646
625,1865
626,2730
627,3464
628,2838
629,4978
630,10043
6301,3858
6302,3549
6303,8873
6304,6465
6305,7235
6308,8087
6309,5865
631,3633
632,3457
633.01,1615
633.02,1631
633.03,1211
634,4799
6401,2490
6403,6388
6404,2556
6405,2898
6406,4154
6407,3653
6408,2120
6501,5548
6502,6977
6503.01,5387
6503.02,5988
6504,5756
6505,15865
6603.01,6256
6603.02,9789
6604,6518
6605,9541
6606,22519
6607,10564
6608,15329
6609,18097
6610,17825
6611,9168
6701,6931
6702,10253
6703,7634
6704,7844
6705,5775
6706,7394
6707,10478
6708,10196
6709,7867
6711,7120
6712,9064
6713,12881
6714,9070
6715,16230
6716,13067
6718,5058
6719,5960
6720,13971
6805,8868
6806,8716
6809,21600
6810,17847
6811,18739
6812,16121
6813,14228
6814,16148
6903,11014
6904,16709
6905,5659
6909,14684
6910,11115
6911,13979
6912,15253
6913,8675
6914,11577
6915,13326
7001,8094
7002,6800
7003.01,4477
7003.02,4835
7004.01,10063
7004.02,3906
7005.01,11522
7005.02,3567
701.01,4500
701.02,2228
701.03,1858
702,5507
703,7191
704,3195
705,2254
706,2712
707,8436
710,4491
7101,6416
7102,19049
7103,5873
7104,16941
7105,15886
7106,9624
7107,11095
7108,19329
7109,12006
711,5341
7110,12637
7111,10076
7112,11148
7113,4735
7114,11079
7115,6886
712,5930
713,3466
714,6259
715,8507
716,1242
717,1977
718,3023
7201,2983
7202,5802
7203,4075
7204,1601
7205,1793
7206,1532
7207,4353
7301,4979
7302.01,15799
7302.02,6600
7303,2816
7304,10834
7305,12317
7306,8249
7307,10345
7401,3220
7402,3049
7403,3047
7404,3616
7501,10176
7502,4127
7503,2179
7504,3183
7505,14844
7506,12908
7608.01,3167
7608.02,894
7608.03,4019
7705,9
7706.02,68
7707,81
7708,72
7709.01,129
7709.02,642
801,2969
802.01,2380
802.02,5711
803,7149
804,10119
8054.02,2
8055.02,23
8056,7
8057.02,516
8076,9
8078,64
8079,33
8080.01,1
8080.02,614
8081,341
810,9354
8102,2897
8103.01,212
8104,1271
8105.01,483
8105.02,248
8106,119
8107.01,226
8107.02,90
8108,291
8109,1547
811,6936
8111,36
8116,6
8117.01,54
812.01,12542
812.02,3676
8121,1256
8122,400
8125,135
8126,418
813,12038
8130,150
8131,620
8133.01,66
8133.02,113
8134,665
8135,153
814.01,6317
814.02,4652
814.03,12906
8142,2
815,18239
816,8563
817,16256
818,20181
819,7114
8203,204
8204,145
8208,185
8209.01,339
8209.02,367
8211.02,365
8212,270
8214.01,38
8214.02,34
8215,54
8216,1329
8217,64
8219,95
8220,293
8221.02,1
8227.01,71
8227.02,71
8228.01,18
8228.02,112
8232,2
8233.03,399
8233.04,180
8234,2
8235,30
8264.01,38
8265,10
8305,6669
8306,8986
8307,19576
8308,3453
8309,10558
8310,3714
8311,13527
8312,7785
8313,9896
8314,12518
8315,9476
8316,8567
8317,6367
8318,7438
8319,3040
8320,6921
8321,4763
8322,3978
8323,7283
8324,4872
8325,9145
8326,7884
8329,2131
8330,15704
8331,12624
8333,3084
8339,11535
8340,10155
8342,24521
8343,18410
8344,9770
8345,7711
8346,20356
8347,14235
8348,11575
8349,12639
8350,26479
8351,13617
8352,4771
8355,9269
8356,9988
8357,4579
8358,7426
8359,11878
8360,7397
8361,11612
8362,4747
8363,2411
8364,6128
8365,3810
8366,13090
8367,13608
8368,15096
8369,7595
8370,15966
8371,8793
8373,11091
8374,13088
8378,16540
8380,9511
8381,8715
8382,9603
8383,10472
8386,6285
8387,23471
8388,11578
8390,10511
8391,64813
8392,8802
8395,4424
8396,9214
8397,6004
8398,3526
8399,5995
8400,2710
8401,2430
8402,4362
8403,6065
8404,7039
8407,8151
8408,5125
8410,18907
8411,10488
8412,7751
8413,8518
8414,5807
8415,16142
8416,3814
8417,4525
8418,11682
8419,19228
8420,4329
8421,23744
8422,26302
8423,13688
8424,29056
8425,12138
8426,12719
8428,12570
8429,22398
8430,21709
8431,13063
8432,7696
8433,7507
8434,8141
8435,7172
8436,8621
8437,6588
8438,10850
8439,12612
901,1412
902,3619
903,778
9800,22430
9801,5981
