county,demfrac2
butler,0.3073 
berks,0.4481 
union,0.3678 
delaware,0.6158 
luzerne,0.4000 
chester,0.5496 
wayne,0.3014 
armstrong,0.2341 
washington,0.3717 
cumberland,0.4053 
clarion,0.2536 
cameron,0.2505 
adams,0.3115 
snyder,0.2545 
mckean,0.2570 
erie,0.4917 
jefferson,0.1937 
crawford,0.3051 
pike,0.3657 
northampton,0.4802 
york,0.3477 
susquehanna,0.2844 
columbia,0.3317 
carbon,0.3228 
clinton,0.3213 
philadelphia,0.8430 
lebanon,0.3187 
lawrence,0.3552 
dauphin,0.5153 
montour,0.3508 
juniata,0.1804 
allegheny,0.5862 
mercer,0.3726 
bedford,0.1571 
venango,0.2825 
beaver,0.4031 
warren,0.2920 
wyoming,0.3013 
clearfield,0.2475 
tioga,0.2227 
forest,0.2711 
indiana,0.3166 
bucks,0.5041 
sullivan,0.2466 
blair,0.2629 
schuylkill,0.2760 
mifflin,0.2157 
elk,0.2776 
fayette,0.3416 
somerset,0.2122 
perry,0.2288 
fulton,0.1381 
northumberland,0.2779 
westmoreland,0.3387 
lycoming,0.2676 
montgomery,0.6114 
potter,0.1724 
franklin,0.2598 
bradford,0.2599 
huntingdon,0.2385 
monroe,0.5040 
lancaster,0.3978 
lehigh,0.5246 
lackawanna,0.5179 
centre,0.5125 
greene,0.2923 
cambria,0.3087 
